v1        v2        v3
0.060000  0.040000  2.530000
0.060000  0.040000  2.530000
0.060000  0.040000  2.530000
0.060000  0.050000  2.530000
0.070000  0.070000  2.530000
0.080000  0.090000  2.530000
0.100000  0.100000  2.530000
0.120000  0.130000  2.530000
0.130000  0.150000  2.530000
0.160000  0.170000  2.530000
0.160000  0.190000  2.540000
0.180000  0.210000  2.540000
0.190000  0.220000  2.530000
0.210000  0.240000  2.530000
0.250000  0.260000  2.530000
0.250000  0.280000  2.530000
0.280000  0.300000  2.530000
0.290000  0.320000  2.530000
0.310000  0.340000  2.530000
0.330000  0.360000  2.530000
0.360000  0.380000  2.530000
0.380000  0.390000  2.530000
0.400000  0.420000  2.540000
0.420000  0.430000  2.530000
0.430000  0.450000  2.520000
0.470000  0.470000  2.510000
0.470000  0.490000  2.480000
0.490000  0.500000  2.490000
0.520000  0.520000  2.470000
0.540000  0.540000  2.450000
0.560000  0.560000  2.420000
0.600000  0.570000  2.400000
0.590000  0.590000  2.370000
0.620000  0.610000  2.320000
0.630000  0.620000  2.280000
0.650000  0.630000  2.220000
0.680000  0.620000  2.200000
0.700000  0.630000  2.190000
0.740000  0.640000  2.150000
0.740000  0.650000  2.110000
0.760000  0.650000  2.040000
0.780000  0.650000  1.990000
0.790000  0.650000  1.970000
0.820000  0.650000  1.930000
0.850000  0.660000  1.870000
0.860000  0.660000  1.790000
0.890000  0.670000  1.780000
0.910000  0.670000  1.710000
0.910000  0.680000  1.650000
0.940000  0.680000  1.600000
0.940000  0.680000  1.560000
0.970000  0.690000  1.470000
1.000000  0.680000  1.430000
1.030000  0.680000  1.390000
1.030000  0.690000  1.380000
1.070000  0.700000  1.350000
1.080000  0.690000  1.230000
1.090000  0.700000  1.170000
1.110000  0.700000  1.170000
1.120000  0.700000  1.160000
1.160000  0.700000  1.080000
1.180000  0.700000  1.070000
1.200000  0.710000  0.970000
1.220000  0.710000  0.990000
1.230000  0.710000  0.940000
1.250000  0.720000  0.860000
1.290000  0.720000  0.810000
1.300000  0.720000  0.760000
1.300000  0.720000  0.710000
1.320000  0.720000  0.730000
1.340000  0.730000  0.660000
1.350000  0.720000  0.600000
1.380000  0.730000  0.580000
1.410000  0.730000  0.500000
1.430000  0.730000  0.460000
1.430000  0.730000  0.400000
1.460000  0.730000  0.360000
1.470000  0.730000  0.320000
1.500000  0.740000  0.330000
1.520000  0.740000  0.240000
1.530000  0.740000  0.230000
1.550000  0.740000  0.220000
1.570000  0.740000  0.210000
1.590000  0.740000  0.200000
1.610000  0.740000  0.190000
1.650000  0.740000  0.190000
1.650000  0.740000  0.180000
1.690000  0.740000  0.180000
1.730000  0.740000  0.170000
1.740000  0.740000  0.170000
1.740000  0.740000  0.170000
1.760000  0.740000  0.160000
1.790000  0.740000  0.160000
1.800000  0.740000  0.160000
1.820000  0.740000  0.160000
1.860000  0.740000  0.150000
1.860000  0.740000  0.150000
1.880000  0.740000  0.150000
1.900000  0.740000  0.150000
1.900000  0.740000  0.150000
1.920000  0.740000  0.140000
1.940000  0.740000  0.150000
1.960000  0.750000  0.140000
1.980000  0.740000  0.140000
2.020000  0.750000  0.140000
2.040000  0.740000  0.140000
2.050000  0.740000  0.140000
2.080000  0.750000  0.140000
2.070000  0.750000  0.140000
2.130000  0.740000  0.130000
2.120000  0.750000  0.130000
2.130000  0.750000  0.130000
2.170000  0.750000  0.130000
2.200000  0.750000  0.130000
2.220000  0.750000  0.130000
2.220000  0.750000  0.130000
2.240000  0.750000  0.130000
2.260000  0.750000  0.130000
2.310000  0.750000  0.130000
2.320000  0.750000  0.120000
2.330000  0.750000  0.130000
2.330000  0.750000  0.130000
2.370000  0.740000  0.120000
2.390000  0.750000  0.120000
2.390000  0.750000  0.120000
2.410000  0.750000  0.120000
2.440000  0.750000  0.120000
2.470000  0.750000  0.120000
2.460000  0.750000  0.120000
2.480000  0.750000  0.120000
2.500000  0.750000  0.120000
2.530000  0.750000  0.120000
2.580000  0.750000  0.120000
2.590000  0.750000  0.110000
2.580000  0.750000  0.110000
2.610000  0.750000  0.110000
2.630000  0.750000  0.110000
2.640000  0.750000  0.110000
2.680000  0.750000  0.110000
2.710000  0.750000  0.110000
2.700000  0.750000  0.110000
2.710000  0.750000  0.110000
2.760000  0.750000  0.110000
2.790000  0.750000  0.110000
2.780000  0.750000  0.110000
2.810000  0.750000  0.110000
2.840000  0.750000  0.110000
2.850000  0.750000  0.110000
2.860000  0.750000  0.110000
2.880000  0.750000  0.110000
2.910000  0.760000  0.110000
2.930000  0.750000  0.110000
2.950000  0.750000  0.110000
2.970000  0.750000  0.110000
2.990000  0.760000  0.110000
3.010000  0.750000  0.100000
3.020000  0.750000  0.100000
3.060000  0.750000  0.110000
3.080000  0.760000  0.110000
3.100000  0.760000  0.100000
3.120000  0.750000  0.100000
3.120000  0.750000  0.100000
3.120000  0.750000  0.100000
3.140000  0.760000  0.100000
3.190000  0.760000  0.100000
3.190000  0.750000  0.100000
3.220000  0.760000  0.100000
3.240000  0.760000  0.100000
3.260000  0.750000  0.100000
3.280000  0.750000  0.100000
3.320000  0.760000  0.100000
3.310000  0.760000  0.100000
3.340000  0.750000  0.100000
3.350000  0.760000  0.100000
3.360000  0.760000  0.100000
3.400000  0.760000  0.100000
3.420000  0.760000  0.100000
3.450000  0.750000  0.100000
3.470000  0.760000  0.100000
3.480000  0.750000  0.100000
3.480000  0.750000  0.090000
3.510000  0.760000  0.090000
3.530000  0.760000  0.100000
3.540000  0.750000  0.100000
3.560000  0.760000  0.100000
3.580000  0.760000  0.100000
3.610000  0.760000  0.100000
3.650000  0.760000  0.100000
3.650000  0.760000  0.090000
3.680000  0.760000  0.100000
3.700000  0.760000  0.090000
3.710000  0.760000  0.090000
3.730000  0.760000  0.090000
3.750000  0.760000  0.090000
3.760000  0.760000  0.090000
3.800000  0.760000  0.090000
3.820000  0.760000  0.090000
3.830000  0.760000  0.090000
3.860000  0.760000  0.090000
3.870000  0.760000  0.090000
3.880000  0.760000  0.090000
3.910000  0.760000  0.090000
3.920000  0.760000  0.090000
3.940000  0.760000  0.090000
3.940000  0.760000  0.090000
3.990000  0.760000  0.090000
4.010000  0.760000  0.090000
4.020000  0.760000  0.090000
4.050000  0.760000  0.090000
4.070000  0.760000  0.090000
4.080000  0.760000  0.090000
4.110000  0.760000  0.090000
4.100000  0.760000  0.090000
4.150000  0.760000  0.090000
4.150000  0.760000  0.090000
4.180000  0.760000  0.090000
4.190000  0.760000  0.090000
4.230000  0.760000  0.080000
4.220000  0.760000  0.090000
4.260000  0.760000  0.090000
4.270000  0.760000  0.090000
4.290000  0.760000  0.090000
4.320000  0.760000  0.090000
4.340000  0.760000  0.090000
4.350000  0.760000  0.090000
4.380000  0.760000  0.090000
4.390000  0.760000  0.090000
4.420000  0.760000  0.090000
4.430000  0.760000  0.090000
4.430000  0.760000  0.080000
4.470000  0.760000  0.080000
4.500000  0.760000  0.090000
4.510000  0.760000  0.080000
4.530000  0.760000  0.090000
4.560000  0.760000  0.090000
4.570000  0.760000  0.080000
4.590000  0.760000  0.080000
4.610000  0.760000  0.090000
4.630000  0.760000  0.090000
4.650000  0.760000  0.080000
4.670000  0.760000  0.080000
4.680000  0.760000  0.090000
4.700000  0.760000  0.090000
4.730000  0.760000  0.080000
4.750000  0.760000  0.090000
4.770000  0.760000  0.080000
4.780000  0.760000  0.080000
4.800000  0.760000  0.080000
4.820000  0.760000  0.080000
4.840000  0.760000  0.090000
4.860000  0.760000  0.080000
4.880000  0.760000  0.080000
4.900000  0.770000  0.080000
4.920000  0.760000  0.080000
4.940000  0.760000  0.080000
4.960000  0.760000  0.080000
